Additive AVX2 10-shot (prime roots),12,14,3.8115781379744,3.8115836443804,3.8115866448416,570.847475599
Additive AVX2 10-shot (prime roots),12,14,3.8115786668554,3.811584742232,3.8115898155573,591.051834062
Additive AVX2 10-shot (prime roots),12,14,3.8115795716572,3.8115848765463,3.8115883294762,610.829385305
Additive AVX2 10-shot (prime roots),12,14,3.8115815252267,3.8115845960727,3.8115913050178,583.887617717
Additive AVX2 10-shot (prime roots),12,14,3.8115788187321,3.8115848896268,3.8115917492056,587.205360636
Additive AVX2 10-shot (prime roots),12,14,3.8115804414383,3.8115850017282,3.8115901838996,579.926854038
Additive AVX2 10-shot (prime roots),12,14,3.8115787151146,3.8115836196823,3.8115882865408,579.325360732
Additive AVX2 10-shot (prime roots),12,14,3.8115807860968,3.8115842099577,3.8115900452198,580.47319781
Additive AVX2 10-shot (prime roots),12,14,3.8115804866202,3.8115856081357,3.8115935098079,579.133412311
Additive AVX2 10-shot (prime roots),12,14,3.8115782181018,3.8115860014582,3.8115920339147,576.67150479
Additive AVX2 10-shot (prime roots),12,14,3.8115805724843,3.8115848523703,3.8115898023595,559.285516393
Additive AVX2 10-shot (prime roots),12,14,3.8115784216926,3.8115830461102,3.8115917295267,575.424205898
Additive AVX2 10-shot (prime roots),12,14,3.811579628081,3.8115850631165,3.8115884862725,637.863444024
Additive AVX2 10-shot (prime roots),12,14,3.8115801008044,3.8115833332355,3.8115861730578,693.422148478
Additive AVX2 10-shot (prime roots),12,14,3.811581711963,3.8115860694439,3.8115905891057,689.498356673
Additive AVX2 10-shot (prime roots),12,14,3.8115779198719,3.8115842860397,3.8115892540654,584.255832377
Additive AVX2 10-shot (prime roots),12,14,3.8115774983382,3.8115851067114,3.8115913352336,578.801958415
Additive AVX2 10-shot (prime roots),12,14,3.8115787069332,3.8115838795508,3.8115921021645,671.478235316
Additive AVX2 10-shot (prime roots),12,14,3.8115788778917,3.8115847841676,3.8115917659813,622.883873881
Additive AVX2 10-shot (prime roots),12,14,3.8115818895866,3.8115859770955,3.8115907478338,582.730778621
