code,threads,power_of_4,min,avg,max,time
CUDA,768,12,3.0642956930607,3.0658809052634,3.067324769076,136.304875354
CUDA,768,12,3.0645331451712,3.0658794631691,3.0672299909682,136.515719213
CUDA,768,12,3.0646110800091,3.0658750052457,3.0672614749778,136.896353332
CUDA,768,12,3.0646451075812,3.0658656275711,3.0671452206858,136.96143466
CUDA,768,12,3.064681458973,3.0658487458638,3.0672306192591,137.989349945
CUDA,768,12,3.0646524323624,3.0658513049931,3.0671895447432,137.634400942
CUDA,768,12,3.0646172769233,3.0658946303231,3.0675102360939,136.427661024
CUDA,768,12,3.0643880746369,3.0658975916862,3.067551170295,136.455450619
CUDA,768,12,3.064447630209,3.0658874853495,3.0672177657439,136.429021721
CUDA,768,12,3.0644302643298,3.0658655497718,3.0673116538264,136.453431625
CUDA,768,12,3.0646927609942,3.0658740853982,3.0670247799602,135.407498767
CUDA,768,12,3.0643708123078,3.0658803109214,3.0671683176689,136.34793277
CUDA,768,12,3.0644735040249,3.0658740784456,3.0670784250628,136.348943753
CUDA,768,12,3.0645908497839,3.0658876260863,3.0671979204858,136.432010555
CUDA,768,12,3.0646182732194,3.0659020222983,3.0673242141513,136.407369299
CUDA,768,12,3.0643049962855,3.0658684829125,3.0672603112361,136.379071263
CUDA,768,12,3.064453277903,3.0658758738004,3.0671983087813,136.448253251
CUDA,768,12,3.0646278858065,3.0658666737513,3.0670002669488,136.423659364
CUDA,768,12,3.0647387904997,3.0659010718528,3.0670939809127,136.389120159
CUDA,768,12,3.0646753974763,3.0658491368078,3.0672098670257,136.375531935
CUDA,768,12,3.0645847244554,3.0658676102702,3.0670943080261,136.383308699
CUDA,768,12,3.0645620057344,3.0658915304606,3.0671470911739,136.434749257
CUDA,768,12,3.0645857345561,3.065875332437,3.0669180867099,136.432077725
CUDA,768,12,3.064433474135,3.0658965980655,3.0673308246636,136.424077798
CUDA,768,12,3.0647937021818,3.0658853583098,3.0670512093573,136.345914197
CUDA,768,12,3.0645737586128,3.065859955135,3.0669841460364,136.388426134
CUDA,768,12,3.0645431083233,3.0658739979182,3.0673378101301,136.367522982
CUDA,768,12,3.0646503124333,3.0658654656713,3.0675941267156,136.338524602
CUDA,768,12,3.064534671689,3.0658924106629,3.0670896981089,136.32535146
CUDA,768,12,3.0643925800811,3.065883604458,3.0674245388691,135.399482406
CUDA,768,12,3.0646532509328,3.0658967750616,3.0669764935363,135.406922384
CUDA,768,12,3.0645556737444,3.0658899099067,3.0673691895055,136.440750595
CUDA,768,12,3.0645525793207,3.0658534161573,3.0672702064944,136.441026244
CUDA,768,12,3.0646829631808,3.065886913583,3.0671473278349,136.392018272
CUDA,768,12,3.0644941570667,3.0658872772138,3.0672881045163,136.391927255
CUDA,768,12,3.0646619899228,3.0658846353216,3.0670899667489,136.337430001
CUDA,768,12,3.0643867070836,3.0659044503663,3.0670286342934,136.313736957
CUDA,768,12,3.0644968988541,3.0658810008408,3.0672594623324,136.382130048
CUDA,768,12,3.0644340073146,3.065870357098,3.0673327680874,135.37422114
CUDA,768,12,3.0645559774916,3.0658471268139,3.066993053962,136.372451061
CUDA,768,12,3.0646595162219,3.0658718446096,3.0673023088526,136.359561643
CUDA,768,12,3.0646544447814,3.06590150166,3.0671378043784,136.451021026
CUDA,768,12,3.0647655095879,3.0658791236091,3.0671464041732,136.401087371
CUDA,768,12,3.064484922863,3.0658634560635,3.067106521472,136.395124329
CUDA,768,12,3.064661849909,3.0658918397146,3.0674062893447,136.410826049
CUDA,768,12,3.0647057554278,3.06589476542,3.0670654412262,136.350605741
CUDA,768,12,3.0645802510822,3.0658856202352,3.067244681949,136.331269959
CUDA,768,12,3.0646044707907,3.0659040964373,3.0673364537563,136.411196851
CUDA,768,12,3.0642817676051,3.0658660167446,3.0673636490661,136.353526218
CUDA,768,12,3.0646895394417,3.0658645505328,3.0672132521011,136.383509958
CUDA,768,12,3.0645748016006,3.0658831869753,3.0676090534755,136.332819956
CUDA,768,12,3.0645783368513,3.0658775799747,3.0670665877577,136.425345007
CUDA,768,12,3.0643082596521,3.0658798543116,3.0675610401241,136.420909833
CUDA,768,12,3.064606733874,3.0658811079482,3.0672450110072,136.413432991
CUDA,768,12,3.0646947767906,3.0658799838979,3.0671294468764,136.385705598
CUDA,768,12,3.0646908202179,3.0658735794567,3.067088322534,136.36332175
CUDA,768,12,3.0645150106468,3.0658849700596,3.0671647483042,136.313190196
CUDA,768,12,3.064660349946,3.0658663081661,3.0671879328985,136.378926141
CUDA,768,12,3.0642844608387,3.0658732444741,3.0668880063941,136.476251769
CUDA,768,12,3.0644715298335,3.0658949973575,3.0670260098087,136.45048274
CUDA,768,12,3.064485758957,3.0658706535095,3.0670660019138,165.521244556
CUDA,768,12,3.0645499957501,3.0659021204153,3.0676803557712,164.082793038
CUDA,768,12,3.0643513703211,3.0658838334355,3.0670823842019,164.535766891
CUDA,768,12,3.064702642715,3.0658692377178,3.0671412411855,165.525509455
CUDA,768,12,3.0646650881331,3.065887881025,3.0672478529194,168.157718705
CUDA,768,12,3.064542607109,3.0658713040907,3.0674364523367,166.459930133
CUDA,768,12,3.0644234717527,3.0658798675272,3.0673694475409,168.992602612
CUDA,768,12,3.0644258515776,3.0658612523905,3.0670926380255,185.891200591
CUDA,768,12,3.0643600226893,3.0658716935568,3.067151856797,167.737661463
CUDA,768,12,3.0646740978449,3.0658863849756,3.0672344450246,177.934896973
