code,threads,power_of_4,min,avg,max,time
AVX2,12,14,3.065835890032,3.0658859903587,3.0659269305921,267.689668171
AVX2,12,14,3.0658148690437,3.0658777634373,3.0659877999567,265.698093462
AVX2,12,14,3.0658506550037,3.0658929845335,3.0659472437434,269.423519619
AVX2,12,14,3.0658350979681,3.0658728664055,3.0659087783739,266.481124938
AVX2,12,14,3.0658181365384,3.0658731658312,3.0659329907823,257.923181397
AVX2,12,14,3.065840950738,3.0658714798176,3.0659122452953,262.37910419
AVX2,12,14,3.0658239630706,3.0658758042827,3.0659344922957,264.398948632
AVX2,12,14,3.0658401288412,3.0658918865925,3.0659507838983,253.640358164
AVX2,12,14,3.0658189947908,3.0658651935627,3.0658920775739,265.105211138
AVX2,12,14,3.0658318835763,3.0658702897737,3.0659189429003,265.567074821
AVX2,12,14,3.0658520346897,3.065879539705,3.0659238300837,270.892550049
AVX2,12,14,3.0658370438828,3.0658724866958,3.0659259567251,251.276849064
AVX2,12,14,3.0658476683859,3.0658891294805,3.0659432457675,249.775691754
AVX2,12,14,3.0658281841176,3.0658850819776,3.0659424478673,253.757248342
AVX2,12,14,3.0658305343964,3.0658752703539,3.0659091255752,263.710136807
AVX2,12,14,3.0658254397918,3.0658843827212,3.0659487671276,264.719935411
AVX2,12,14,3.0658449316641,3.0658746331996,3.0658943967655,257.478559522
AVX2,12,14,3.0658198024282,3.0658739402815,3.0658896253932,255.627389672
AVX2,12,14,3.0657951580843,3.065871098932,3.0659225396881,261.710059423
AVX2,12,14,3.0658349356685,3.0658689159553,3.0659313137617,262.141986466
AVX2,12,14,3.0658537462387,3.0658765402334,3.065906452852,280.313368844
AVX2,12,14,3.0658442611503,3.0658807940053,3.0659515356816,274.125256541
AVX2,12,14,3.0658493173462,3.0658824348485,3.0659195470554,279.35421964
AVX2,12,14,3.0658425703112,3.0658802648838,3.065901580495,275.061030407
AVX2,12,14,3.0658559902657,3.0658788109251,3.0659090053635,289.587251152
AVX2,12,14,3.0658522261274,3.0658787734685,3.0659109546894,301.179949784
AVX2,12,14,3.0658400192506,3.0658842059941,3.065927918388,326.758572917
AVX2,12,14,3.0658465146421,3.0658925808133,3.0659298525583,283.13287673
AVX2,12,14,3.0658324099754,3.0658741187159,3.065913382282,323.510895836
AVX2,12,14,3.0658095698191,3.0658707311404,3.0659120977439,277.510584332
AVX2,12,14,3.0658098486246,3.0658733455494,3.0659028041716,252.281865441
AVX2,12,14,3.0658569282719,3.0658898371598,3.0659322116222,256.52951469
AVX2,12,14,3.0658254651228,3.0658773280591,3.0659382815708,256.063007649
AVX2,12,14,3.065843091024,3.0658822960786,3.0659366172434,253.973992835
AVX2,12,14,3.0658518528524,3.0658713007733,3.0659116401274,251.538071634
AVX2,12,14,3.0658417849798,3.0658782212525,3.0659137483633,251.652170684
AVX2,12,14,3.0658039039298,3.0658656320862,3.0658874495244,250.023261832
AVX2,12,14,3.0657823561306,3.0658600191457,3.065935712444,252.703271412
AVX2,12,14,3.0658261324827,3.0658840612272,3.0659214356118,259.901912166
