code,threads,power_of_4,min,avg,max,time
Additive AVX2,12,14,3.0658781579236,3.0658801941576,3.065882004908,265.086808392
Additive AVX2,12,14,3.0658772383599,3.065879310017,3.0658810651764,275.686127906
Additive AVX2,12,14,3.0658767753679,3.0658791736283,3.0658811195504,278.669619526
Additive AVX2,12,14,3.0658773868931,3.0658793863597,3.0658813706351,282.744629284
Additive AVX2,12,14,3.0658780522094,3.0658797115358,3.065880763042,256.754770979
Additive AVX2,12,14,3.0658761806022,3.0658791610011,3.0658822411914,269.15022808
Additive AVX2,12,14,3.0658764412221,3.0658796334,3.065882091221,272.979950165
Additive AVX2,12,14,3.0658769480693,3.0658793961993,3.0658813913051,270.180316265
Additive AVX2,12,14,3.0658775987745,3.0658794314192,3.065880798207,269.766172589
Additive AVX2,12,14,3.0658769332069,3.0658795095564,3.0658818801253,270.520170453
Additive AVX2,12,14,3.0658771779904,3.0658792673337,3.0658813032385,267.972826935
Additive AVX2,12,14,3.0658772214714,3.0658795670582,3.0658820207912,271.073968992
Additive AVX2,12,14,3.0658764115824,3.065879207321,3.0658818349707,269.532239774
Additive AVX2,12,14,3.0658783830728,3.0658798519734,3.0658818445164,269.34513577
Additive AVX2 (prime roots),12,14,3.0658764825911,3.0658793856701,3.0658821845152,265.208936139
Additive AVX2 (prime roots),12,14,3.0658778771893,3.0658795612528,3.0658815450941,275.950449264
Additive AVX2 (prime roots),12,14,3.0658777999673,3.0658789336302,3.0658801010001,282.889081117
Additive AVX2 (prime roots),12,14,3.0658769215425,3.0658790707124,3.0658802945027,277.289009539
Additive AVX2 (prime roots),12,14,3.065877271483,3.0658785663637,3.0658797533035,279.549867802
Additive AVX2 (prime roots),12,14,3.0658777488608,3.0658791136733,3.0658806234613,285.289761125
Additive AVX2 (prime roots),12,14,3.0658775541554,3.0658792488156,3.0658803247986,284.120981423
Additive AVX2 (prime roots),12,14,3.0658784057897,3.0658793763228,3.0658803128332,282.079227325
Additive AVX2 (prime roots),12,14,3.0658776025164,3.0658793742341,3.065880685111,289.291644084
Additive AVX2 (prime roots),12,14,3.0658787219696,3.0658793678562,3.0658811102042,286.704413171
